word,log_odds,valence,arousal,dominance
aggravate,0.3638035995821285,0.224,0.77,0.464
tribute,-0.14702202418386207,0.684,0.573,0.7
earring,0.8338072288278641,0.583,0.52,0.5
seashore,0.14066004826791878,0.796,0.31,0.375
glorious,-0.019682601807260423,0.959,0.673,0.827
dissonance,1.2392723369360286,0.173,0.471,0.336
understandable,-0.3332422213934742,0.776,0.363,0.566
published,-0.06001064719423242,0.667,0.429,0.57
employment,-0.5524871322920267,0.75,0.594,0.611
shade,0.04968827006219207,0.388,0.265,0.278
sinful,0.14066004826791878,0.143,0.788,0.417
profit,-0.055084528858176544,0.93,0.462,0.721
notorious,0.8338072288278641,0.366,0.582,0.609
privately,-0.7531578277541777,0.458,0.562,0.541
complimentary,-0.5719052181491283,0.823,0.413,0.435
fur,1.2392723369360283,0.583,0.392,0.315
succinct,0.5461251563760832,0.51,0.413,0.566
pub,-1.6510994209601364,0.592,0.637,0.446
ribbon,-2.0961736671633466,0.719,0.288,0.357
pickup,0.54744181226083,0.561,0.529,0.42
shady,0.15091654843510782,0.323,0.509,0.375
dialect,1.750097960702019,0.635,0.422,0.526
short,-0.32655441465119034,0.184,0.264,0.237
tempera,-2.49839728134734,0.458,0.318,0.245
insert,-0.5969388948628604,0.481,0.552,0.519
remorse,0.32298160506187334,0.103,0.673,0.377
run,0.27864857772348456,0.542,0.787,0.543
spec,0.49733499220665106,0.583,0.426,0.691
lego,-0.6702701679484101,0.6,0.294,0.189
writ,-0.5524871322920265,0.562,0.22,0.543
proverbial,0.14066004826791878,0.583,0.43,0.697
corned,-0.26480505984024566,0.459,0.441,0.425
neon,0.9515902644842475,0.594,0.48,0.38
atheist,0.8338072288278641,0.225,0.447,0.377
boxing,-0.11065438001298732,0.427,0.854,0.645
docking,-0.013490631559339564,0.354,0.596,0.587
conditioning,0.1519596035218521,0.44,0.468,0.617
perform,-1.611878707806855,0.765,0.555,0.773
sacrifice,-0.8889593689132396,0.208,0.833,0.534
chased,-0.06001064719423231,0.188,0.83,0.287
insurance,0.2518856833781431,0.714,0.308,0.825
bake,-0.013490631559339564,0.867,0.418,0.519
delighted,-0.24360285218964267,0.938,0.664,0.685
seeker,-0.7756306836062364,0.646,0.464,0.553
pill,0.14066004826791859,0.573,0.407,0.368
martial,0.14066004826791878,0.48,0.71,0.737
disloyal,-0.26480505984024566,0.062,0.582,0.245
tome,0.29481072809517705,0.429,0.316,0.492
padding,-1.5640880439705065,0.561,0.398,0.423
standardize,1.2392723369360286,0.684,0.353,0.729
incongruous,-0.957952240400191,0.177,0.504,0.343
civilians,-0.5524871322920265,0.49,0.448,0.525
dilute,-0.7466431467329842,0.275,0.192,0.349
descending,0.8338072288278641,0.219,0.493,0.25
strongly,-0.04210116560060544,0.63,0.817,0.885
hypertension,2.086570197323232,0.133,0.784,0.427
bush,-0.11065438001298732,0.413,0.22,0.315
believing,0.06655207611419683,0.87,0.418,0.833
warrants,-0.4724444246184901,0.562,0.431,0.881
easily,-0.25238253984168846,0.885,0.279,0.453
sadly,0.011006840041048077,0.047,0.255,0.216
darkly,-1.2456343128519718,0.219,0.548,0.443
tenderness,0.20810132906345133,0.949,0.276,0.367
bump,-0.16302236553030336,0.286,0.458,0.368
smoothness,-0.7756306836062364,0.833,0.221,0.412
translucent,1.170279465449077,0.6,0.5,0.389
creative,-1.8517701164222873,0.917,0.518,0.788
helpless,0.5461251563760832,0.104,0.42,0.214
versatile,-0.6477973120963515,0.906,0.625,0.714
spook,1.2392723369360286,0.327,0.887,0.322
shudder,0.5461251563760832,0.344,0.791,0.559
dental,0.3638035995821285,0.573,0.404,0.463
marbles,-0.26480505984024566,0.714,0.345,0.241
cater,0.17902091614036494,0.802,0.5,0.509
tidbit,-0.41895573966750393,0.552,0.382,0.385
draw,-0.16302236553030336,0.704,0.449,0.481
dispute,0.3848570087799608,0.219,0.75,0.585
platform,-0.31609835422779625,0.602,0.34,0.718
cockroach,0.41363597333000435,0.188,0.667,0.196
checklist,-0.7066378121192849,0.561,0.521,0.552
twinkle,-0.7066378121192849,0.719,0.724,0.61
blurry,-0.08248350304629111,0.059,0.385,0.218
defending,1.5269544093878094,0.604,0.871,0.812
java,1.2392723369360286,0.459,0.321,0.343
fearing,1.0569507801420739,0.125,0.566,0.256
nephew,-0.35512769813353146,0.719,0.337,0.412
shutdown,0.337370342513973,0.173,0.367,0.418
exceptional,-0.5140799539923584,0.806,0.74,0.933
devote,-1.1121029202274493,0.802,0.49,0.642
transformation,0.14066004826791859,0.796,0.618,0.77
older,0.372461662325243,0.385,0.255,0.317
contents,0.21664595524584085,0.656,0.375,0.55
working,0.24441928255877124,0.74,0.585,0.576
alongside,-0.6199284130875591,0.458,0.333,0.347
easygoing,0.05364867127828904,0.823,0.276,0.538
muster,-0.4654757553023967,0.635,0.46,0.548
ratio,-0.5368792346260356,0.56,0.461,0.741
swearing,-0.17779368285061586,0.333,0.559,0.586
draining,0.4771322848891316,0.337,0.396,0.304
malleable,0.8338072288278641,0.5,0.5,0.391
scoundrel,0.8338072288278641,0.094,0.74,0.412
yank,0.14066004826791878,0.271,0.63,0.538
cooperating,0.5461251563760832,0.76,0.39,0.693
